,0
WTS,0.010537135489168764
MTH,0.15429799873707645
LOPE,0.049755125816720744
SIGI,0.15054284452040884
ABG,0.16165074833924725
ELAN,1.2344327448573895
NXST,0.20070893742778614
AMG,0.15081781361083346
IIIN,0.0802331133014696
FSS,0.06701564214594471
INSP,0.3148217309966298
CSWI,0.02282386085183968
OZK,0.10659884786416174
BILL,18.113234074089092
IDCC,0.17322120108941305
AL,0.3930066345150913
CTRE,0.5675273765371869
CLF,0.31135157329424656
CYTK,2.629822548665647
NJR,0.08486985668805541
CVCO,0.09824168460600607
SWX,1.2229775266929899
AGO,0.1381088588486742
HWC,0.06571306654382601
VRNS,5.531434906839927
TKR,0.06887906624097995
FFIN,0.06767117226112349
RDN,0.010924751921888503
TGTX,0.16375059367757097
FIVE,0.037739074735469655
BE,138.00504975393432
AXSM,20.396262637177397
GH,103.65872597379325
BYD,0.03060554617622666
IRT,0.4343588021896719
KAI,0.014265483446018778
CELH,2.158699259783735
BOX,0.09363160027922725
VVV,0.10647473418921302
TENB,8.294709526631484
WTM,0.0716024871825726
RH,0.45022516241377897
SEE,0.0019983242113154965
SR,0.007683765033186393
EEFT,0.09146528425958295
AN,0.05940957202629496
AVT,0.04173516709813595
KRYS,1.216059400414514
SFBS,0.05588640476219342
FELE,0.1433380220406257
BDC,0.3134982056557856
VNOM,0.22532980344952114
POR,0.059506946609160574
CBT,0.1479084371614658
FRPT,1.9760977786209373
WK,18.328698138305423
CNX,0.5753704209761241
LYFT,73.6065216920187
SLGN,0.08671802634530074
MWA,0.04126524127295186
VLY,0.09818960714807748
NSIT,0.010620916747181249
KBH,0.0359375739583763
EXPO,0.025758017390697253
MMS,0.07474351226920439
FCFS,0.08064716865251673
EPR,0.02654398947119771
DY,0.018475638365803355
MARA,0.8150777262430067
ST,0.1904410660296172
PRGO,0.17201128714440758
CHH,0.07995168399165241
KMPR,0.33924970570039503
THO,0.16980793986215076
RYN,0.09161480902020634
OGS,0.0035488529393719786
STRL,0.09921798233142573
BKH,0.008929410226694558
AVAV,3.7925363609099603
ACA,0.14526116632552694
SKYW,0.03037185298759756
IBP,0.09155254460581777
IRDM,0.03550473165842809
PCH,0.11062726416201801
FUN,0.04311938637369694
WLK,0.11834282918786211
ASB,0.6153187298271634
AX,0.05788257871654555
DORM,0.09668528023596783
CBZ,0.017911495809923052
ALE,0.053314173105342796
CALM,0.11022779380543607
ABCB,0.10788658947765314
TCBI,0.1049470843333545
LANC,0.041215600757157425
TDS,0.47892246560880886
VRRM,0.10535516894526215
ZG,0.3649176332194574
PJT,0.07036370815351024
BOOT,0.039860214910777944
PRIM,0.022239194080176085
APLE,0.13453998266402706
ELF,0.22454306626881265
IAC,0.9954385947796711
IBOC,0.16105337340292766
HL,0.5339824297265559
KFY,0.07187865335254207
HASI,0.15109224524522386
FRSH,0.8208285661987081
MDU,0.12341392435614408
CIVI,0.050644130113182056
GVA,0.20022151312353098
CACC,0.10915596619012873
RUSHA,0.07757395214454321
MHO,0.04982864124176903
UNF,0.030932798832598106
WDFC,0.009060361608459515
IRTC,115.00648825800565
ICUI,0.4537497230927243
NWE,0.018203613186055685
MGEE,0.014831215454370878
HGV,0.0326438971266097
GEO,0.9817336669561454
FTDR,0.18909272448951672
W,0.1028218125251564
